,likes_count,comments_count,common_friends_count,is_friend
6998,1,1,0,1
5494,2,0,0,1
6275,1,0,0,1
4292,2,0,0,1
445,1,0,0,1
753,1,0,0,1
4399,2,0,1,0
2312,2,0,0,1
4873,4,0,0,1
5215,4,1,0,1
4702,1,0,0,1
5698,1,0,1,0
4367,1,1,0,1
1063,1,0,0,1
683,3,0,0,1
1245,4,0,0,1
2506,1,0,1,0
3193,1,0,1,0
3645,1,0,2,0
1220,2,0,0,1
5631,3,0,0,0
50,2,0,2,0
1815,4,0,0,0
6425,1,0,0,1
1816,1,0,0,0
6743,1,0,0,1
771,1,0,0,1
5886,1,0,0,0
409,4,0,0,0
6105,4,0,0,0
1041,1,0,0,1
3217,1,0,2,0
5696,1,0,0,1
4919,1,0,0,0
2396,5,0,0,1
2798,1,0,0,1
6507,2,0,1,0
4527,1,0,1,0
3921,3,0,1,0
4878,1,0,1,0
10,4,0,0,1
2229,1,0,0,0
3523,2,0,1,0
6736,8,0,1845,0
2036,2,0,1,0
1198,5,0,0,1
5425,2,0,0,0
4739,2,0,1,0
5188,1,0,0,1
1113,1,0,0,1
47,1,0,2,0
2212,1,0,0,0
3866,8,0,1,0
5598,2,0,0,1
6933,1,2,2,0
1340,1,0,0,0
6447,1,0,0,0
6389,0,1,2,0
6851,1,0,0,1
274,1,0,0,1
2414,3,0,0,1
1272,2,0,2,0
4359,1,0,0,1
3510,6,0,1,0
1158,3,0,0,1
1710,3,0,0,0
4671,1,1,1,0
6375,1,0,1,0
1079,2,0,6,1
135,1,0,0,1
232,1,0,1,1
555,0,1,0,1
4785,1,0,1,0
1602,1,0,1,0
5361,1,0,1,0
1262,1,0,0,1
2808,4,0,0,1
4744,5,0,1,0
1992,1,0,1,0
2391,1,0,0,1
2593,1,0,0,1
4806,1,0,0,1
6297,1,0,0,0
1784,2,0,0,1
5122,2,0,0,0
833,1,0,0,0
1270,2,0,2,0
2158,1,0,1,1
2749,1,0,0,1
4942,1,0,0,1
4554,1,0,1,0
484,1,0,1,0
563,5,0,0,1
3194,5,0,2,0
5630,1,0,0,1
5746,8,1,1,0
6844,1,0,2,0
262,1,0,1,0
875,5,0,1,1
1643,1,0,0,0
6715,3,0,0,1
5903,1,0,2,0
5415,1,0,1,0
1721,2,0,0,0
2748,1,0,0,1
1667,1,0,0,1
3218,1,0,0,0
2553,2,0,1,0
1529,1,0,3,0
3534,10,0,1,0
1622,4,0,1,0
2114,2,0,1,0
416,2,0,0,1
3144,7,0,0,0
5420,1,0,0,0
20,1,0,0,1
5449,3,0,1,0
4659,1,0,41,0
3928,10,0,1,0
2715,2,0,0,1
2384,0,1,0,1
221,1,0,0,1
97,1,0,0,1
3492,1,0,1,0
6999,3,0,0,1
3657,1,0,1,0
6049,5,0,1,0
5833,3,0,1,0
2177,1,0,0,0
1257,2,0,0,1
3762,8,0,1,0
1058,1,0,0,1
5141,10,0,330,0
626,4,0,0,1
2377,1,0,0,1
6125,0,1,1,0
2690,5,0,0,1
6269,1,0,1,0
2110,1,0,0,0
6032,2,0,0,1
3475,1,0,1,1
81,1,0,2,0
6997,2,1,2,0
5082,1,0,0,1
269,1,0,0,1
5437,1,0,2,0
6242,1,0,0,1
1542,1,1,3,0
41,2,0,1,0
4908,2,0,0,0
1939,1,0,0,0
5293,2,0,1,0
27,3,0,1,0
4220,1,0,1,0
5033,1,0,15,0
6333,1,0,1,0
384,1,0,2,0
5495,2,0,0,1
1131,2,0,0,1
4649,3,0,0,0
1289,1,0,0,1
918,1,0,0,1
3468,1,0,3,0
4799,1,0,0,1
4804,2,0,0,1
2717,1,0,0,1
797,1,0,0,1
5745,1,0,1,0
3644,5,0,2,0
4204,1,0,0,0
6217,1,0,0,1
960,1,0,3,0
6718,1,0,1,0
4559,1,0,1,0
5692,1,0,0,0
5996,2,0,0,1
3791,1,0,0,1
520,1,0,1,0
1924,1,0,0,1
234,1,0,0,1
5473,2,0,1,0
1697,1,0,0,1
3145,3,0,1,0
3719,4,0,1,0
5711,2,0,1,0
4285,1,0,0,1
5240,1,0,0,1
5985,1,0,0,0
5338,1,0,0,0
2179,2,0,0,0
3134,1,0,0,0
572,10,0,1,0
4321,3,0,2,0
5047,3,0,1,0
4934,3,0,1,0
1701,1,0,1,0
4950,2,0,0,0
4280,4,8,241,0
